Date,Pizza,#,Pizzeria
17/02/2026,Speck e scamorza,3,Da Rida
17/02/2026,Parmigiana,1,Da Rida
17/02/2026,Prosciutto e funghi bianca,1,Da Rida
17/02/2026,Crudo e bufala,1,Da Rida
17/02/2026,Salsiccia e bufala,1,Da Rida
17/02/2026,Salame piccante,1,Da Rida
17/02/2026,Margherita,2,Da Rida
